comparison,paired_cases,old_pass,new_pass,old_pass_rate,new_pass_rate,pass_rate_delta_pp,gains,regressions,both_pass,mcnemar_exact_p,runtime_both_pass_pairs,old_runtime_sum_ms,new_runtime_sum_ms,old_over_new_runtime_median,old_over_new_runtime_geomean,new_runtime_wins
v0,482,362,470,0.7510373443983402,0.975103734439834,22.406639004149376,109,1,361,1.7102257906158654e-31,361,4149494.874,2041338.6809999996,2.0894825251275186,2.1062569324157883,350
v1,482,432,470,0.8962655601659751,0.975103734439834,7.8838174273858925,39,1,431,7.457856554538012e-11,431,4812345.659999999,2193234.3300000015,2.653345455019575,2.443078362931898,422
v2,482,436,470,0.9045643153526971,0.975103734439834,7.053941908713693,35,1,435,1.076841726899147e-09,435,4947406.369,2199703.4050000007,2.4464851970571875,2.381635484442258,421
v3,482,427,470,0.8858921161825726,0.975103734439834,8.921161825726141,43,0,427,2.2737367544323206e-13,427,4558989.277,1444666.080000001,2.751788394551273,2.5612401156841447,421
v4,246,229,242,0.9308943089430894,0.983739837398374,5.284552845528455,13,0,229,0.000244140625,229,1845438.9870000002,684802.9940000001,1.6373104145601616,1.9687863785608146,225
v5,226,217,224,0.9601769911504425,0.9911504424778761,3.0973451327433628,7,0,217,0.015625,217,1386757.951,686436.1780000002,1.5278658951587645,1.6748650358278192,213
