version,circuit,trojan,old_status,new_status,transition,old_runtime_ms,new_runtime_ms,old_over_new_runtime,old_area_delta,new_reported_area_delta,old_level_delta,new_reported_level_delta
v0,c3540,c3540_trojan85,PASS,PASS,PASS_STABLE,1429.490,559.889,2.553167,3,-1,0,0
v0,c3540,c3540_trojan86,PASS,PASS,PASS_STABLE,24997.100,10820.200,2.310225,-1,-1,0,0
v0,c3540,c3540_trojan87,PASS,PASS,PASS_STABLE,509.007,509.601,0.998834,-1,-1,0,0
v0,c3540,c3540_trojan88,PASS,PASS,PASS_STABLE,5567.480,1802.330,3.089046,3,-1,0,0
v0,c3540,c3540_trojan89,PASS,PASS,PASS_STABLE,3440.270,2092.090,1.644418,-1,-1,0,0
v0,c3540,c3540_trojan9,PASS,PASS,PASS_STABLE,3135.880,1964.330,1.596412,-1,-1,0,0
v0,c3540,c3540_trojan90,PASS,PASS,PASS_STABLE,19273.900,12768.000,1.509547,-1,-1,0,0
v0,c3540,c3540_trojan91,PASS,PASS,PASS_STABLE,1492.460,777.486,1.919597,-1,-1,0,0
v0,c3540,c3540_trojan92,PASS,PASS,PASS_STABLE,7459.330,4473.900,1.667299,1,1,0,0
v0,c3540,c3540_trojan93,PASS,PASS,PASS_STABLE,4003.830,2391.710,1.674045,-1,-1,0,0
v0,c3540,c3540_trojan94,PASS,PASS,PASS_STABLE,793.788,917.288,0.865364,-1,-1,0,0
v0,c3540,c3540_trojan95,PASS,PASS,PASS_STABLE,6222.340,4077.630,1.525970,-1,-1,0,0
v0,c3540,c3540_trojan96,PASS,PASS,PASS_STABLE,1608.860,1223.040,1.315460,1,1,0,0
v0,c3540,c3540_trojan97,PASS,PASS,PASS_STABLE,13466.500,4817.370,2.795405,3,-1,0,0
v0,c3540,c3540_trojan98,PASS,PASS,PASS_STABLE,2620.780,1556.950,1.683278,-1,-1,0,0
v0,c3540,c3540_trojan99,PASS,PASS,PASS_STABLE,4354.850,1927.320,2.259537,-1,-1,0,0
v0,c5315,c5315_trojan0,PASS,PASS,PASS_STABLE,74673.600,48765.200,1.531289,8,-1,0,0
v0,c5315,c5315_trojan1,PASS,PASS,PASS_STABLE,86908.200,27763.500,3.130304,4,-1,0,0
v0,c5315,c5315_trojan10,PASS,PASS,PASS_STABLE,78305.000,25285.000,3.096895,7,-1,0,0
v0,c5315,c5315_trojan11,PASS,PASS,PASS_STABLE,24274.700,29037.200,0.835986,7,-1,0,0
v0,c5315,c5315_trojan12,PASS,PASS,PASS_STABLE,45949.800,29334.800,1.566392,8,-1,1,-4
v0,c5315,c5315_trojan13,PASS,PASS,PASS_STABLE,27297.400,7101.840,3.843708,7,-1,0,0
v0,c5315,c5315_trojan14,CEC_FAIL,PASS,GAIN,92930.700,24416.600,,5,-1,1,0
v0,c5315,c5315_trojan15,PASS,PASS,PASS_STABLE,17371.100,4759.110,3.650073,4,-1,0,0
v0,c5315,c5315_trojan16,PASS,PASS,PASS_STABLE,64285.000,196173.000,0.327695,8,-1,0,0
v0,c5315,c5315_trojan17,PASS,PASS,PASS_STABLE,1445.640,811.901,1.780562,4,-1,0,0
v0,c5315,c5315_trojan18,FAIL,PASS,GAIN,119961.000,127893.000,,,-1,,0
v0,c5315,c5315_trojan19,PASS,PASS,PASS_STABLE,25066.000,9717.490,2.579473,7,-1,0,0
v0,c5315,c5315_trojan2,PASS,PASS,PASS_STABLE,66336.100,44682.000,1.484627,8,-1,0,0
v0,c5315,c5315_trojan20,FAIL,PASS,GAIN,294957.000,264624.000,,,-1,,0
v0,c5315,c5315_trojan21,FAIL,TIMEOUT,FAIL_STABLE,370941.000,,,,,,
v0,c5315,c5315_trojan22,PASS,PASS,PASS_STABLE,31185.300,12790.400,2.438180,7,-1,0,0
v0,c5315,c5315_trojan23,FAIL,PASS,GAIN,294155.000,225319.000,,,-1,,0
v0,c5315,c5315_trojan24,PASS,PASS,PASS_STABLE,75851.700,57441.800,1.320497,9,-1,0,0
v0,c5315,c5315_trojan25,PASS,PASS,PASS_STABLE,23536.700,5907.930,3.983917,10,-1,0,0
v0,c5315,c5315_trojan26,PASS,PASS,PASS_STABLE,2017.880,670.512,3.009461,7,-1,0,0
v0,c5315,c5315_trojan27,FAIL,PASS,GAIN,49980.600,16900.100,,,-1,,0
