version,common_cases,pass,pass_rate
v0,226,207,0.915929203539823
v1,226,215,0.9513274336283186
v2,226,220,0.9734513274336283
v3,226,215,0.9513274336283186
v4,226,215,0.9513274336283186
v5,226,217,0.9601769911504425
z3-pb,226,224,0.9911504424778761
