circuit,trojan,success,gt_verify,vn_rounds,cec_rounds,runtime_ms,area_delta,level_delta,rule_method,dt_builds,optimizer_calls,optimizer_solver_ms,effective_rules,effective_literals,effective_depth,actual_area_delta_trojan,actual_level_delta_trojan
c2670,c2670_trojan53,PASS,PASS,0,0,1592.0,-1,-5,z3-pb,1,1,6.936,1,1,1,-1,-5
c2670,c2670_trojan54,PASS,PASS,0,0,504.983,-1,0,z3-pb,1,1,6.3903,1,1,1,-1,0
c2670,c2670_trojan55,PASS,PASS,0,0,448.131,-1,0,z3-pb,1,1,5.5246,1,1,1,-1,0
c2670,c2670_trojan56,PASS,PASS,0,0,501.562,-1,-5,z3-pb,1,1,6.6356,1,1,1,-1,-5
c2670,c2670_trojan57,PASS,PASS,0,0,569.241,-1,-2,z3-pb,1,1,7.6546,1,1,1,-1,-2
c2670,c2670_trojan58,PASS,PASS,0,0,608.125,-1,0,z3-pb,1,1,7.2806,1,1,1,-1,0
c2670,c2670_trojan59,PASS,PASS,0,0,389.082,-1,-6,z3-pb,1,1,6.7459,1,1,1,-1,-6
c2670,c2670_trojan6,PASS,PASS,0,0,536.196,-1,0,z3-pb,1,1,5.9398,1,1,1,-1,0
c2670,c2670_trojan60,PASS,PASS,0,0,941.192,-1,0,z3-pb,1,1,7.5922,1,1,1,-1,0
c2670,c2670_trojan61,PASS,PASS,0,0,499.262,-1,-2,z3-pb,1,1,5.619,1,1,1,-1,-2
c2670,c2670_trojan62,PASS,PASS,0,1,704.751,-1,-3,z3-pb,2,2,14.428799999999999,1,1,1,-1,-3
c2670,c2670_trojan63,PASS,PASS,0,0,384.395,-1,-5,z3-pb,1,1,7.7804,1,1,1,-1,-5
c2670,c2670_trojan64,PASS,PASS,0,0,780.08,-1,-7,z3-pb,1,1,6.7412,1,1,1,-1,-7
c2670,c2670_trojan65,PASS,PASS,0,1,798.433,-1,-2,z3-pb,2,2,9.9759,1,1,1,-1,-2
c2670,c2670_trojan66,PASS,PASS,0,1,655.81,-1,-3,z3-pb,2,2,9.012699999999999,1,1,1,-1,-3
c2670,c2670_trojan67,PASS,PASS,0,0,558.537,-1,0,z3-pb,1,1,6.4343,1,1,1,-1,0
c2670,c2670_trojan68,PASS,PASS,0,0,405.6,-1,-3,z3-pb,1,1,6.1281,1,1,1,-1,-3
c2670,c2670_trojan69,PASS,PASS,0,0,523.713,-1,0,z3-pb,1,1,6.5873,1,1,1,-1,0
c2670,c2670_trojan7,PASS,PASS,0,0,530.244,-1,-12,z3-pb,1,1,6.4172,1,1,1,-1,-12
c2670,c2670_trojan70,PASS,PASS,0,0,380.596,-1,-2,z3-pb,1,1,8.758,1,1,1,-1,-2
c2670,c2670_trojan71,PASS,PASS,0,0,895.187,-1,-2,z3-pb,1,1,6.8956,1,1,1,-1,-2
