circuit,trojan_bench,groundtruth,gt_exists,main_exit,run_time_sec,patched_bench,cec_result,cec_rounds_used,cec_detail,orig_area,orig_delay,patched_area,patched_delay
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan18.bench","groundtruth/V0_singleTrigger_singlePayload/c5315/c5315_trojan18_error_patterns.json","1","0","131","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan18_patched.bench","not_equiv","1","Networks are NOT EQUIVALENT. Time = 0.01 sec INPUT: 1 = 1'h0, 100 = 1'h0, 103 = 1'h0, 106 = 1'h0, 109 = 1'h0, 11 = 1'h0, 112 = 1'h0, 113 = 1'h0, 114 = 1'h0, 115 = 1'h0, 116 = 1'h0, 117 = 1'h0, 118 = 1'h0, 119 = 1'h0, 120 = 1'h0, 121 = 1'h0, 122 = 1'h0, 123 = 1'h0, 126 = 1'h0, 127 = 1'h0, 128 = 1'h0, 129 = 1'h0, 130 = 1'h0, 131 = 1'h0, 132 = 1'h0, 135 = 1'h0, 136 = 1'h0, 137 = 1'h0, 14 = 1'h0, 140 = 1'h0, 141 = 1'h0, 145 = 1'h0, 146 = 1'h0, 149 = 1'h0, 152 = 1'h0, 155 = 1'h0, 158 = 1'h0, 161 = 1'h0, 164 = 1'h0, 167 = 1'h0, 17 = 1'h0, 170 = 1'h0, 173 = 1'h0, 176 = 1'h0, 179 = 1'h0, 182 = 1'h0, 185 = 1'h0, 188 = 1'h0, 191 = 1'h0, 194 = 1'h0, 197 = 1'h0, 20 = 1'h0, 200 = 1'h0, 203 = 1'h0, 206 = 1'h0, 209 = 1'h0, 210 = 1'h0, 217 = 1'h0, 218 = 1'h0, 225 = 1'h0, 226 = 1'h1, 23 = 1'h0, 233 = 1'h0, 234 = 1'h1, 24 = 1'h0, 241 = 1'h0, 242 = 1'h0, 245 = 1'h0, 248 = 1'h1, 25 = 1'h0, 251 = 1'h1, 254 = 1'h0, 257 = 1'h0, 26 = 1'h0, 264 = 1'h0, 265 = 1'h0, 27 = 1'h0, 272 = 1'h0, 273 = 1'h1, 280 = 1'h0, 281 = 1'h1, 288 = 1'h0, 289 = 1'h0, 292 = 1'h0, 293 = 1'h0, 299 = 1'h0, 302 = 1'h0, 307 = 1'h0, 308 = 1'h0, 31 = 1'h0, 315 = 1'h1, 316 = 1'h0, 323 = 1'h1, 324 = 1'h0, 331 = 1'h1, 332 = 1'h1, 335 = 1'h0, 338 = 1'h1, 34 = 1'h0, 341 = 1'h0, 348 = 1'h1, 351 = 1'h1, 358 = 1'h1, 361 = 1'h0, 366 = 1'h1, 369 = 1'h0, 37 = 1'h0, 372 = 1'h0, 373 = 1'h0, 374 = 1'h1, 386 = 1'h0, 389 = 1'h1, 4 = 1'h0, 40 = 1'h0, 400 = 1'h1, 411 = 1'h1, 422 = 1'h1, 43 = 1'h0, 435 = 1'h0, 446 = 1'h0, 457 = 1'h1, 46 = 1'h0, 468 = 1'h1, 479 = 1'h0, 49 = 1'h0, 490 = 1'h0, 503 = 1'h0, 514 = 1'h0, 52 = 1'h0, 523 = 1'h0, 53 = 1'h0, 534 = 1'h1, 54 = 1'h0, 545 = 1'h0, 549 = 1'h0, 552 = 1'h0, 556 = 1'h0, 559 = 1'h0, 562 = 1'h0, 566 = 1'h0, 571 = 1'h0, 574 = 1'h0, 577 = 1'h0, 580 = 1'h0, 583 = 1'h0, 588 = 1'h0, 591 = 1'h0, 592 = 1'h0, 595 = 1'h0, 596 = 1'h0, 597 = 1'h0, 598 = 1'h0, 599 = 1'h0, 603 = 1'h0, 607 = 1'h0, 61 = 1'h0, 610 = 1'h0, 613 = 1'h0, 616 = 1'h0, 619 = 1'h0, 625 = 1'h0, 631 = 1'h0, 64 = 1'h0, 67 = 1'h0, 70 = 1'h0, 73 = 1'h0, 76 = 1'h0, 79 = 1'h0, 80 = 1'h0, 81 = 1'h0, 82 = 1'h0, 83 = 1'h0, 86 = 1'h0, 87 = 1'h0, 88 = 1'h0, 91 = 1'h0, 94 = 1'h0, 97 = 1'h0. OUTPUT: 1066 = 1'h0, 1137 = 1'h1, 1138 = 1'h0, 1139 = 1'h0, 1140 = 1'h0, 1141 = 1'h1, 1142 = 1'h1, 1143 = 1'h1, 1144 = 1'h0, 1145 = 1'h0, 1147 = 1'h0, 1152 = 1'h1, 1153 = 1'h1, 1154 = 1'h1, 1155 = 1'h1, 1972 = 1'h0, 2054 = 1'h0, 2060 = 1'h1, 2061 = 1'h1, 2139 = 1'h0, 2142 = 1'h0, 2309 = 1'h0, 2387 = 1'h0, 2527 = 1'h0, 2584 = 1'h1, 2590 = 1'h1, 2623 = 1'h1, 3357 = 1'h0, 3358 = 1'h0, 3359 = 1'h0, 3360 = 1'h0, 3604 = 1'h0, 3613 = 1'h1, 4272 = 1'h1, 4275 = 1'h1, 4278 = 1'h1, 4279 = 1'h1, 4737 = 1'h0, 4738 = 1'h0, 4739 = 1'h0, 4740 = 1'h0, 5240 = 1'h0, 5388 = 1'h0, 6641 = 1'h0, 6643 = 1'h0, 6646 = 1'h0, 6648 = 1'h0, 6716 = 1'h0, 6877 = 1'h0, 6924 = 1'h0, 6925 = 1'h1, 6926 = 1'h0, 6927 = 1'h1, 7015 = 1'h1, 709 = 1'h0, 7363 = 1'h1, 7365 = 1'h1, 7432 = 1'h1, 7449 = 1'h0, 7465 = 1'h0, 7466 = 1'h0, 7467 = 1'h0, 7469 = 1'h0, 7470 = 1'h0, 7471 = 1'h1, 7472 = 1'h1, 7473 = 1'h1, 7474 = 1'h1, 7476 = 1'h0, 7503 = 1'h0, 7504 = 1'h0, 7506 = 1'h0, 7511 = 1'h0, 7515 = 1'h1, 7516 = 1'h1, 7517 = 1'h1, 7518 = 1'h0, 7519 = 1'h1, 7520 = 1'h1, 7521 = 1'h1, 7522 = 1'h0, 7600 = 1'h0, 7601 = 1'h0, 7602 = 1'h0, 7603 = 1'h0, 7604 = 1'h0, 7605 = 1'h0, 7606 = 1'h0, 7607 = 1'h0, 7626 = 1'h0, 7698 = 1'h1, 7699 = 1'h1, 7700 = 1'h1, 7701 = 1'h1, 7702 = 1'h1, 7703 = 1'h0, 7704 = 1'h1, 7705 = 1'h1, 7706 = 1'h1, 7707 = 1'h1, 7735 = 1'h0, 7736 = 1'h0, 7737 = 1'h0, 7738 = 1'h0, 7739 = 1'h0, 7740 = 1'h0, 7741 = 1'h0, 7742 = 1'h0, 7754 = 1'h0, 7755 = 1'h0, 7756 = 1'h0, 7757 = 1'h0, 7758 = 1'h0, 7759 = 1'h0, 7760 = 1'h0, 7761 = 1'h0, 8075 = 1'h0, 8076 = 1'h0, 8123 = 1'h1, 8124 = 1'h1, 8127 = 1'h1, 8128 = 1'h1, 816 = 1'h0 (benchmarks/c5315.bench), 1066 = 1'h0, 1137 = 1'h1, 1138 = 1'h0, 1139 = 1'h0, 1140 = 1'h0, 1141 = 1'h1, 1142 = 1'h1, 1143 = 1'h1, 1144 = 1'h0, 1145 = 1'h0, 1147 = 1'h0, 1152 = 1'h1, 1153 = 1'h1, 1154 = 1'h1, 1155 = 1'h1, 1972 = 1'h0, 2054 = 1'h0, 2060 = 1'h1, 2061 = 1'h1, 2139 = 1'h0, 2142 = 1'h0, 2309 = 1'h0, 2387 = 1'h0, 2527 = 1'h0, 2584 = 1'h1, 2590 = 1'h1, 2623 = 1'h1, 3357 = 1'h0, 3358 = 1'h0, 3359 = 1'h0, 3360 = 1'h0, 3604 = 1'h0, 3613 = 1'h1, 4272 = 1'h1, 4275 = 1'h1, 4278 = 1'h1, 4279 = 1'h1, 4737 = 1'h0, 4738 = 1'h0, 4739 = 1'h0, 4740 = 1'h0, 5240 = 1'h0, 5388 = 1'h0, 6641 = 1'h0, 6643 = 1'h0, 6646 = 1'h0, 6648 = 1'h0, 6716 = 1'h0, 6877 = 1'h0, 6924 = 1'h0, 6925 = 1'h1, 6926 = 1'h0, 6927 = 1'h1, 7015 = 1'h1, 709 = 1'h0, 7363 = 1'h1, 7365 = 1'h1, 7432 = 1'h1, 7449 = 1'h0, 7465 = 1'h0, 7466 = 1'h0, 7467 = 1'h0, 7469 = 1'h0, 7470 = 1'h0, 7471 = 1'h1, 7472 = 1'h1, 7473 = 1'h1, 7474 = 1'h1, 7476 = 1'h0, 7503 = 1'h0, 7504 = 1'h0, 7506 = 1'h0, 7511 = 1'h0, 7515 = 1'h1, 7516 = 1'h1, 7517 = 1'h1, 7518 = 1'h0, 7519 = 1'h1, 7520 = 1'h1, 7521 = 1'h1, 7522 = 1'h0, 7600 = 1'h0, 7601 = 1'h0, 7602 = 1'h0, 7603 = 1'h0, 7604 = 1'h0, 7605 = 1'h0, 7606 = 1'h0, 7607 = 1'h0, 7626 = 1'h0, 7698 = 1'h1, 7699 = 1'h1, 7700 = 1'h1, 7701 = 1'h1, 7702 = 1'h1, 7703 = 1'h0, 7704 = 1'h1, 7705 = 1'h1, 7706 = 1'h1, 7707 = 1'h1, 7735 = 1'h0, 7736 = 1'h0, 7737 = 1'h0, 7738 = 1'h0, 7739 = 1'h0, 7740 = 1'h0, 7741 = 1'h0, 7742 = 1'h0, 7754 = 1'h0, 7755 = 1'h0, 7756 = 1'h0, 7757 = 1'h0, 7758 = 1'h0, 7759 = 1'h0, 7760 = 1'h0, 7761 = 1'h0, 8075 = 1'h0, 8076 = 1'h1, 8123 = 1'h1, 8124 = 1'h1, 8127 = 1'h1, 8128 = 1'h1, 816 = 1'h0 (trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan18_patched.bench). Verification failed for at least 1 outputs: 8076 Output 8076: Value in Network1 = 0. Value in Network2 = 1. Input pattern: 619=0 625=0 118=0 226=1 248=1 422=1 251=1 242=0 254=0 218=0 468=1 206=0 446=0 210=0 457=1 257=0 389=1 234=1 435=0 281=1 374=1 273=1 411=1 265=0 400=1 566=0 335=0 264=0 272=0 241=0 280=0 288=0 217=0 209=0 225=0 233=0","2313","49","2649","53"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan81.bench","groundtruth/V0_singleTrigger_singlePayload/c5315/c5315_trojan81_error_patterns.json","1","0","658","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan81_patched.bench","not_equiv","2","Networks are NOT EQUIVALENT. Time = 0.05 sec INPUT: 1 = 1'h1, 100 = 1'h0, 103 = 1'h1, 106 = 1'h1, 109 = 1'h1, 11 = 1'h0, 112 = 1'h0, 113 = 1'h0, 114 = 1'h1, 115 = 1'h0, 116 = 1'h0, 117 = 1'h0, 118 = 1'h0, 119 = 1'h0, 120 = 1'h0, 121 = 1'h1, 122 = 1'h1, 123 = 1'h1, 126 = 1'h1, 127 = 1'h0, 128 = 1'h1, 129 = 1'h1, 130 = 1'h0, 131 = 1'h0, 132 = 1'h1, 135 = 1'h1, 136 = 1'h0, 137 = 1'h0, 14 = 1'h0, 140 = 1'h1, 141 = 1'h1, 145 = 1'h1, 146 = 1'h1, 149 = 1'h1, 152 = 1'h0, 155 = 1'h1, 158 = 1'h1, 161 = 1'h0, 164 = 1'h1, 167 = 1'h1, 17 = 1'h1, 170 = 1'h1, 173 = 1'h0, 176 = 1'h0, 179 = 1'h1, 182 = 1'h1, 185 = 1'h1, 188 = 1'h1, 191 = 1'h0, 194 = 1'h1, 197 = 1'h0, 20 = 1'h1, 200 = 1'h1, 203 = 1'h1, 206 = 1'h1, 209 = 1'h1, 210 = 1'h0, 217 = 1'h1, 218 = 1'h0, 225 = 1'h0, 226 = 1'h0, 23 = 1'h1, 233 = 1'h0, 234 = 1'h0, 24 = 1'h1, 241 = 1'h0, 242 = 1'h1, 245 = 1'h0, 248 = 1'h1, 25 = 1'h1, 251 = 1'h1, 254 = 1'h1, 257 = 1'h0, 26 = 1'h1, 264 = 1'h0, 265 = 1'h0, 27 = 1'h1, 272 = 1'h1, 273 = 1'h0, 280 = 1'h0, 281 = 1'h1, 288 = 1'h0, 289 = 1'h0, 292 = 1'h0, 293 = 1'h1, 299 = 1'h1, 302 = 1'h0, 307 = 1'h0, 308 = 1'h0, 31 = 1'h1, 315 = 1'h0, 316 = 1'h1, 323 = 1'h1, 324 = 1'h0, 331 = 1'h1, 332 = 1'h1, 335 = 1'h1, 338 = 1'h0, 34 = 1'h0, 341 = 1'h0, 348 = 1'h1, 351 = 1'h0, 358 = 1'h1, 361 = 1'h1, 366 = 1'h0, 369 = 1'h1, 37 = 1'h1, 372 = 1'h0, 373 = 1'h1, 374 = 1'h1, 386 = 1'h0, 389 = 1'h0, 4 = 1'h1, 40 = 1'h1, 400 = 1'h0, 411 = 1'h0, 422 = 1'h0, 43 = 1'h1, 435 = 1'h0, 446 = 1'h1, 457 = 1'h0, 46 = 1'h1, 468 = 1'h1, 479 = 1'h1, 49 = 1'h1, 490 = 1'h1, 503 = 1'h0, 514 = 1'h0, 52 = 1'h1, 523 = 1'h1, 53 = 1'h0, 534 = 1'h0, 54 = 1'h0, 545 = 1'h0, 549 = 1'h1, 552 = 1'h0, 556 = 1'h0, 559 = 1'h0, 562 = 1'h0, 566 = 1'h1, 571 = 1'h0, 574 = 1'h0, 577 = 1'h1, 580 = 1'h1, 583 = 1'h1, 588 = 1'h0, 591 = 1'h1, 592 = 1'h0, 595 = 1'h1, 596 = 1'h0, 597 = 1'h1, 598 = 1'h1, 599 = 1'h0, 603 = 1'h0, 607 = 1'h0, 61 = 1'h0, 610 = 1'h1, 613 = 1'h1, 616 = 1'h0, 619 = 1'h1, 625 = 1'h0, 631 = 1'h1, 64 = 1'h1, 67 = 1'h1, 70 = 1'h1, 73 = 1'h1, 76 = 1'h0, 79 = 1'h1, 80 = 1'h1, 81 = 1'h1, 82 = 1'h1, 83 = 1'h1, 86 = 1'h1, 87 = 1'h1, 88 = 1'h1, 91 = 1'h1, 94 = 1'h1, 97 = 1'h0. OUTPUT: 1066 = 1'h0, 1137 = 1'h1, 1138 = 1'h0, 1139 = 1'h1, 1140 = 1'h0, 1141 = 1'h0, 1142 = 1'h1, 1143 = 1'h1, 1144 = 1'h1, 1145 = 1'h0, 1147 = 1'h1, 1152 = 1'h1, 1153 = 1'h1, 1154 = 1'h1, 1155 = 1'h1, 1972 = 1'h1, 2054 = 1'h0, 2060 = 1'h1, 2061 = 1'h1, 2139 = 1'h0, 2142 = 1'h1, 2309 = 1'h1, 2387 = 1'h1, 2527 = 1'h1, 2584 = 1'h0, 2590 = 1'h0, 2623 = 1'h0, 3357 = 1'h1, 3358 = 1'h1, 3359 = 1'h1, 3360 = 1'h1, 3604 = 1'h1, 3613 = 1'h0, 4272 = 1'h0, 4275 = 1'h0, 4278 = 1'h0, 4279 = 1'h0, 4737 = 1'h1, 4738 = 1'h1, 4739 = 1'h1, 4740 = 1'h1, 5240 = 1'h0, 5388 = 1'h0, 6641 = 1'h0, 6643 = 1'h0, 6646 = 1'h0, 6648 = 1'h0, 6716 = 1'h1, 6877 = 1'h0, 6924 = 1'h1, 6925 = 1'h1, 6926 = 1'h1, 6927 = 1'h1, 7015 = 1'h0, 709 = 1'h1, 7363 = 1'h0, 7365 = 1'h1, 7432 = 1'h0, 7449 = 1'h0, 7465 = 1'h0, 7466 = 1'h0, 7467 = 1'h1, 7469 = 1'h0, 7470 = 1'h1, 7471 = 1'h1, 7472 = 1'h0, 7473 = 1'h0, 7474 = 1'h1, 7476 = 1'h1, 7503 = 1'h0, 7504 = 1'h0, 7506 = 1'h0, 7511 = 1'h0, 7515 = 1'h0, 7516 = 1'h0, 7517 = 1'h1, 7518 = 1'h1, 7519 = 1'h0, 7520 = 1'h0, 7521 = 1'h1, 7522 = 1'h1, 7600 = 1'h0, 7601 = 1'h0, 7602 = 1'h0, 7603 = 1'h0, 7604 = 1'h0, 7605 = 1'h0, 7606 = 1'h0, 7607 = 1'h0, 7626 = 1'h0, 7698 = 1'h0, 7699 = 1'h0, 7700 = 1'h1, 7701 = 1'h1, 7702 = 1'h1, 7703 = 1'h0, 7704 = 1'h1, 7705 = 1'h0, 7706 = 1'h0, 7707 = 1'h1, 7735 = 1'h0, 7736 = 1'h0, 7737 = 1'h1, 7738 = 1'h1, 7739 = 1'h0, 7740 = 1'h1, 7741 = 1'h1, 7742 = 1'h0, 7754 = 1'h0, 7755 = 1'h0, 7756 = 1'h0, 7757 = 1'h0, 7758 = 1'h0, 7759 = 1'h0, 7760 = 1'h0, 7761 = 1'h0, 8075 = 1'h0, 8076 = 1'h0, 8123 = 1'h1, 8124 = 1'h1, 8127 = 1'h1, 8128 = 1'h1, 816 = 1'h1 (benchmarks/c5315.bench), 1066 = 1'h0, 1137 = 1'h1, 1138 = 1'h0, 1139 = 1'h1, 1140 = 1'h0, 1141 = 1'h0, 1142 = 1'h1, 1143 = 1'h1, 1144 = 1'h1, 1145 = 1'h0, 1147 = 1'h1, 1152 = 1'h1, 1153 = 1'h1, 1154 = 1'h1, 1155 = 1'h1, 1972 = 1'h1, 2054 = 1'h0, 2060 = 1'h1, 2061 = 1'h1, 2139 = 1'h0, 2142 = 1'h1, 2309 = 1'h1, 2387 = 1'h1, 2527 = 1'h1, 2584 = 1'h0, 2590 = 1'h0, 2623 = 1'h0, 3357 = 1'h1, 3358 = 1'h1, 3359 = 1'h1, 3360 = 1'h1, 3604 = 1'h1, 3613 = 1'h0, 4272 = 1'h0, 4275 = 1'h0, 4278 = 1'h0, 4279 = 1'h0, 4737 = 1'h1, 4738 = 1'h1, 4739 = 1'h1, 4740 = 1'h1, 5240 = 1'h0, 5388 = 1'h0, 6641 = 1'h0, 6643 = 1'h0, 6646 = 1'h0, 6648 = 1'h0, 6716 = 1'h1, 6877 = 1'h0, 6924 = 1'h1, 6925 = 1'h1, 6926 = 1'h1, 6927 = 1'h1, 7015 = 1'h0, 709 = 1'h1, 7363 = 1'h0, 7365 = 1'h1, 7432 = 1'h0, 7449 = 1'h0, 7465 = 1'h0, 7466 = 1'h0, 7467 = 1'h1, 7469 = 1'h0, 7470 = 1'h1, 7471 = 1'h1, 7472 = 1'h0, 7473 = 1'h0, 7474 = 1'h1, 7476 = 1'h1, 7503 = 1'h0, 7504 = 1'h0, 7506 = 1'h0, 7511 = 1'h0, 7515 = 1'h0, 7516 = 1'h0, 7517 = 1'h1, 7518 = 1'h1, 7519 = 1'h0, 7520 = 1'h0, 7521 = 1'h1, 7522 = 1'h1, 7600 = 1'h0, 7601 = 1'h0, 7602 = 1'h0, 7603 = 1'h0, 7604 = 1'h0, 7605 = 1'h0, 7606 = 1'h0, 7607 = 1'h0, 7626 = 1'h0, 7698 = 1'h0, 7699 = 1'h0, 7700 = 1'h1, 7701 = 1'h1, 7702 = 1'h1, 7703 = 1'h0, 7704 = 1'h1, 7705 = 1'h0, 7706 = 1'h0, 7707 = 1'h1, 7735 = 1'h0, 7736 = 1'h0, 7737 = 1'h1, 7738 = 1'h1, 7739 = 1'h0, 7740 = 1'h1, 7741 = 1'h1, 7742 = 1'h0, 7754 = 1'h0, 7755 = 1'h0, 7756 = 1'h0, 7757 = 1'h0, 7758 = 1'h0, 7759 = 1'h0, 7760 = 1'h0, 7761 = 1'h0, 8075 = 1'h0, 8076 = 1'h1, 8123 = 1'h0, 8124 = 1'h0, 8127 = 1'h1, 8128 = 1'h1, 816 = 1'h1 (trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan81_patched.bench). Verification failed for at least 3 outputs: 8076 8123 8124 Output 8076: Value in Network1 = 0. Value in Network2 = 1. Input pattern: 619=1 625=0 118=0 226=0 248=1 422=0 251=1 242=1 254=1 218=0 468=1 206=1 446=1 210=0 457=0 257=0 389=0 234=0 435=0 281=1 374=1 273=0 411=0 265=0 400=0 566=1 335=1 264=0 272=1 241=0 280=0 288=0 217=1 209=1 225=0 233=0","2575","63","3237","82"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan33.bench","groundtruth/V0_singleTrigger_singlePayload/c5315/c5315_trojan33_error_patterns.json","1","0","189","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan33_patched.bench","equivalent","2","Networks are equivalent. Time = 0.01 sec","2313","49","2339","49"
"c5315","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan91.bench","groundtruth/V0_singleTrigger_singlePayload/c5315/c5315_trojan91_error_patterns.json","1","0","46","trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan91_patched.bench","equivalent","1","Networks are equivalent. Time = 0.05 sec","2559","57","2565","58"
"c6288","trojaned_bench/V0_singleTrigger_singlePayload/c6288/c6288_trojan18.bench","groundtruth/V0_singleTrigger_singlePayload/c6288/c6288_trojan18_error_patterns.json","0","skip_missing","","","not_run","","missing_groundtruth","","","",""
"c6288","trojaned_bench/V0_singleTrigger_singlePayload/c6288/c6288_trojan34.bench","groundtruth/V0_singleTrigger_singlePayload/c6288/c6288_trojan34_error_patterns.json","0","skip_missing","","","not_run","","missing_groundtruth","","","",""
"c6288","trojaned_bench/V0_singleTrigger_singlePayload/c6288/c6288_trojan15.bench","groundtruth/V0_singleTrigger_singlePayload/c6288/c6288_trojan15_error_patterns.json","0","skip_missing","","","not_run","","missing_groundtruth","","","",""
"c6288","trojaned_bench/V0_singleTrigger_singlePayload/c6288/c6288_trojan32.bench","groundtruth/V0_singleTrigger_singlePayload/c6288/c6288_trojan32_error_patterns.json","0","skip_missing","","","not_run","","missing_groundtruth","","","",""
"c6288","trojaned_bench/V0_singleTrigger_singlePayload/c6288/c6288_trojan54.bench","groundtruth/V0_singleTrigger_singlePayload/c6288/c6288_trojan54_error_patterns.json","0","skip_missing","","","not_run","","missing_groundtruth","","","",""
"c7552","trojaned_bench/V0_singleTrigger_singlePayload/c7552/c7552_trojan46.bench","groundtruth/V0_singleTrigger_singlePayload/c7552/c7552_trojan46_error_patterns.json","1","0","67","trojaned_bench/V0_singleTrigger_singlePayload/c7552/c7552_trojan46_patched.bench","equivalent","1","Networks are equivalent. Time = 0.01 sec","3519","43","3523","43"
