circuit	trojan_bench	groundtruth	gt_exists	main_exit	patched_bench	cec_result	cec_detail
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan10.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan10_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan11.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan11_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan12.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan12_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan13.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan13_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan14.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan14_round1_error_patterns.json	1	0	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan14_patched.bench	equivalent	Networks are equivalent after structural hashing.  Time =     0.00 sec
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan14_patched.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan14_patched_round1_error_patterns.json	0	skip_missing		not_run	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan15.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan15_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan16.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan16_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan17.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan17_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan18.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan18_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan19.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan19_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan2.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan2_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan20.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan20_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan21.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan21_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan22.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan22_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan23.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan23_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan24.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan24_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan25.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan25_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan26.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan26_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan27.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan27_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan28.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan28_round1_error_patterns.json	1	1		no_patch	
c2670	trojaned_bench/V1_singleTrigger_multiPayload/c2670/c2670_trojan29.bench	groundtruth/V1_singleTrigger_multiPayload/c2670/c2670_trojan29_round1_error_patterns.json	1	1		no_patch	
