circuit	trojan_bench	groundtruth	gt_exists	main_exit	patched_bench	cec_result	cec_detail
c2670	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan57.bench	groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan57_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan57_patched.bench	equivalent	Networks are equivalent. Time = 0.02 sec
c2670	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan23.bench	groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan23_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan23_patched.bench	equivalent	Networks are equivalent after structural hashing. Time = 0.00 sec
c2670	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan90.bench	groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan90_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan90_patched.bench	equivalent	Networks are equivalent. Time = 0.04 sec
c2670	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan14.bench	groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan14_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan14_patched.bench	equivalent	Networks are equivalent. Time = 0.01 sec
c2670	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan61.bench	groundtruth/V0_singleTrigger_singlePayload/c2670/c2670_trojan61_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c2670/c2670_trojan61_patched.bench	equivalent	Networks are equivalent. Time = 0.03 sec
c3540	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan28.bench	groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan28_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan28_patched.bench	equivalent	Networks are equivalent. Time = 0.01 sec
c3540	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan79.bench	groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan79_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan79_patched.bench	equivalent	Networks are equivalent. Time = 0.06 sec
c3540	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan10.bench	groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan10_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan10_patched.bench	equivalent	Networks are equivalent. Time = 0.01 sec
c3540	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan84.bench	groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan84_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan84_patched.bench	equivalent	Networks are equivalent. Time = 0.06 sec
c3540	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan48.bench	groundtruth/V0_singleTrigger_singlePayload/c3540/c3540_trojan48_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c3540/c3540_trojan48_patched.bench	equivalent	Networks are equivalent. Time = 0.01 sec
c5315	trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan95.bench	groundtruth/V0_singleTrigger_singlePayload/c5315/c5315_trojan95_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan95_patched.bench	equivalent	Networks are equivalent. Time = 0.05 sec
c5315	trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan12.bench	groundtruth/V0_singleTrigger_singlePayload/c5315/c5315_trojan12_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan12_patched.bench	equivalent	Networks are equivalent. Time = 0.01 sec
c5315	trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan57.bench	groundtruth/V0_singleTrigger_singlePayload/c5315/c5315_trojan57_error_patterns.json	1	0	trojaned_bench/V0_singleTrigger_singlePayload/c5315/c5315_trojan57_patched.bench	equivalent	Networks are equivalent. Time = 0.06 sec
