circuit,trojan,a_status,b_status,c_status,a_runtime_ms,b_runtime_ms,c_runtime_ms,b_over_c_runtime,a_cec_rounds,b_cec_rounds,c_cec_rounds,a_dt_builds,b_dt_builds,c_dt_builds,b_effective_rules,b_effective_literals,b_effective_depth,c_effective_rules,c_effective_literals,c_effective_depth,formal_miter_status,formal_miter_added,formal_miter_fn,formal_miter_fp,formal_miter_retries,formal_miter_proved,formal_miter_total_ms
c2670,c2670_trojan38,PASS,PASS,PASS,438.936,388.932,559.187,0.6955311908180984,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.5452
c2670,c2670_trojan39,PASS,PASS,PASS,383.802,395.606,455.645,0.868232944507237,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.8404
c2670,c2670_trojan4,PASS,PASS,PASS,401.985,383.476,447.333,0.8572495210503137,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,31.4791
c2670,c2670_trojan40,PASS,PASS,PASS,586.519,584.117,619.378,0.9430703060166811,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.4384
c2670,c2670_trojan41,PASS,PASS,PASS,926.175,806.404,791.345,1.0190296267746684,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,32.9179
c2670,c2670_trojan42,PASS,PASS,PASS,574.864,521.526,691.674,0.7540054997007261,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,41.7288
c2670,c2670_trojan43,PASS,PASS,PASS,1879.61,2016.28,1466.87,1.3745458016047776,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,32.4995
c2670,c2670_trojan44,PASS,PASS,PASS,414.119,398.516,492.343,0.8094275738661868,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.9559
c2670,c2670_trojan45,PASS,PASS,PASS,466.507,372.022,498.483,0.7463082993803198,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,34.4806
c2670,c2670_trojan46,PASS,PASS,PASS,1033.09,1603.06,1058.49,1.5144781717352076,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,31.0096
c2670,c2670_trojan47,PASS,PASS,PASS,614.101,583.351,586.495,0.9946393404888362,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,31.0698
c2670,c2670_trojan48,PASS,PASS,PASS,991.991,971.834,1046.78,0.9284032939108504,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,31.8708
c2670,c2670_trojan49,PASS,PASS,PASS,468.107,463.639,509.965,0.9091584716598199,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,31.7553
c2670,c2670_trojan5,PASS,PASS,PASS,445.251,446.21,494.233,0.9028332790404525,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,31.4322
