comparison,paired_cases,old_pass,formal_pass,pass_rate_delta_pp,gains,regressions,both_pass,mcnemar_exact_p,runtime_pairs,old_over_formal_runtime_geomean
v0,482,362,480,24.481327800829874,119,1,361,1.8206056505535589e-34,361,1.8636914283321986
v1,482,432,480,9.95850622406639,49,1,431,9.059419880941277e-14,431,2.1564993149208496
v2,482,436,480,9.12863070539419,45,1,435,1.3358203432289883e-12,435,2.09067074780955
v3,482,427,480,10.995850622406639,53,0,427,2.220446049250313e-16,427,2.235475850770062
v4,246,229,245,6.504065040650406,16,0,229,3.0517578125e-05,229,1.7099093737315496
v5,226,217,225,3.5398230088495577,8,0,217,0.0078125,217,1.4339534904766897
