comparison,cases,old_pass,new_pass,pass_delta_pp,gains,regressions,both_pass,mcnemar_exact_p,runtime_pairs,old_runtime_sum_ms,new_runtime_sum_ms,old_over_new_runtime_median,old_over_new_runtime_geomean,new_runtime_wins,old_over_new_wall_geomean,old_dt_builds,new_dt_builds,old_cec_rounds,new_cec_rounds,both_pass_old_dt_builds,both_pass_new_dt_builds,both_pass_old_cec_rounds,both_pass_new_cec_rounds
A_original_to_B_backport_off,482,470,476,1.2448132780082988,9,3,467,0.14599609375,467,5051564.266999993,3733955.945999999,1.0085527983001619,1.0210080348928965,244,1.0203524305806697,545,555,57,52,515,514,30,31
B_backport_off_to_C_formal_on,482,476,480,0.8298755186721992,4,0,476,0.125,476,5392824.072000006,5552562.614000008,0.9515074965101249,0.8741779669896151,165,0.8881214007507455,555,598,52,6,531,580,32,4
A_original_to_C_formal_on,482,470,480,2.074688796680498,11,1,469,0.00634765625,469,5054117.040999993,3861553.1310000005,0.9469119975869089,0.8954979719577915,170,0.9089994321883705,545,598,57,6,524,565,37,2
