case_id,circuit,trojan,z3_status,dac_status,transition,both_pass,z3_runtime_ms,dac_runtime_ms,z3_wall_ms,dac_wall_ms,golden_aig_nodes,golden_aig_levels,trojan_aig_nodes,trojan_aig_levels,z3_aig_nodes,z3_aig_levels,dac_aig_nodes,dac_aig_levels,z3_delta_nodes_vs_trojan,dac_delta_nodes_vs_trojan,z3_delta_levels_vs_trojan,dac_delta_levels_vs_trojan,z3_minus_dac_nodes,z3_minus_dac_levels,node_winner,level_winner,dac_target_count,dac_patch_inputs,dac_runeco_added_gates,z3_effective_rules,z3_effective_literals,z3_effective_depth,z3_cec_replay,dac_cec_replay
c2670_trojan29,c2670,c2670_trojan29,PASS,PASS,both_pass,1,559.942,2182.54,661.2809170037508,2262.5002259155735,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan3,c2670,c2670_trojan3,PASS,PASS,both_pass,1,1044.45,2509.33,1175.9805659530684,2602.635744959116,717,21,736,34,734,33,717,21,-2,-19,-1,-13,17,12,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan30,c2670,c2670_trojan30,PASS,PASS,both_pass,1,523.339,2200.72,612.8804070176557,2284.55263201613,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan31,c2670,c2670_trojan31,PASS,PASS,both_pass,1,704.628,2628.87,813.3438249351457,2702.819881029427,717,21,738,28,717,21,717,21,-21,-21,-7,-7,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan32,c2670,c2670_trojan32,PASS,PASS,both_pass,1,516.985,2454.18,610.0655840709805,2543.3805929496884,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan33,c2670,c2670_trojan33,PASS,PASS,both_pass,1,776.717,2349.66,869.8613070882857,2433.859782991931,717,21,737,34,735,33,717,21,-2,-20,-1,-13,18,12,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan34,c2670,c2670_trojan34,PASS,PASS,both_pass,1,475.99,2276.76,563.2994140032679,2366.0548879997805,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan35,c2670,c2670_trojan35,PASS,PASS,both_pass,1,526.648,2292.45,661.0813790466636,2362.591009004973,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan36,c2670,c2670_trojan36,PASS,PASS,both_pass,1,571.456,2448.64,659.9650599528104,2513.1222219206393,717,21,736,28,717,21,717,21,-19,-19,-7,-7,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan37,c2670,c2670_trojan37,PASS,PASS,both_pass,1,502.151,2501.37,615.1178770232946,2563.855452928692,717,21,738,29,717,21,717,21,-21,-21,-8,-8,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan38,c2670,c2670_trojan38,PASS,PASS,both_pass,1,559.187,2328.06,663.7481099460274,2413.111642934382,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan39,c2670,c2670_trojan39,PASS,PASS,both_pass,1,455.645,2430.23,566.0935619380325,2529.257799964398,717,21,735,28,717,21,717,21,-18,-18,-7,-7,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan4,c2670,c2670_trojan4,PASS,PASS,both_pass,1,447.333,2339.89,664.7982599679381,2414.1520150005817,717,21,736,29,734,28,717,21,-2,-19,-1,-8,17,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan40,c2670,c2670_trojan40,PASS,PASS,both_pass,1,619.378,2647.26,715.3596529969946,2702.992268023081,717,21,736,29,717,21,717,21,-19,-19,-8,-8,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan41,c2670,c2670_trojan41,PASS,PASS,both_pass,1,791.345,2511.34,910.696783917956,2572.88214599248,717,21,736,31,717,21,717,21,-19,-19,-10,-10,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan42,c2670,c2670_trojan42,PASS,PASS,both_pass,1,691.674,2327.56,818.7772129895166,2413.508174009621,717,21,736,31,717,21,717,21,-19,-19,-10,-10,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan43,c2670,c2670_trojan43,PASS,PASS,both_pass,1,1466.87,2343.18,1566.8417729903013,2409.5893789781258,717,21,736,27,717,21,717,21,-19,-19,-6,-6,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan44,c2670,c2670_trojan44,PASS,PASS,both_pass,1,492.343,2162.85,614.3461279571056,2210.4112850502133,717,21,737,29,735,28,717,21,-2,-20,-1,-8,18,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan45,c2670,c2670_trojan45,PASS,PASS,both_pass,1,498.483,2181.71,621.0799880791456,2260.7173320138827,717,21,736,29,734,28,717,21,-2,-19,-1,-8,17,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan46,c2670,c2670_trojan46,PASS,PASS,both_pass,1,1058.49,2319.62,1165.8983720699325,2420.6385280704126,717,21,735,30,717,21,717,21,-18,-18,-9,-9,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan47,c2670,c2670_trojan47,PASS,PASS,both_pass,1,586.495,2216.18,714.9109580786899,2316.4548110216856,717,21,736,30,734,29,717,21,-2,-19,-1,-9,17,8,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan48,c2670,c2670_trojan48,PASS,PASS,both_pass,1,1046.78,2507.68,1163.6691479943693,2600.0264240428805,717,21,736,28,717,21,717,21,-19,-19,-7,-7,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan49,c2670,c2670_trojan49,PASS,PASS,both_pass,1,509.965,2593.44,614.1870659776032,2679.254463990219,717,21,738,28,717,21,717,21,-21,-21,-7,-7,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan5,c2670,c2670_trojan5,PASS,PASS,both_pass,1,494.233,2177.72,618.7872800510377,2262.891468941234,717,21,736,29,734,28,717,21,-2,-19,-1,-8,17,7,dac25-inspired,dac25-inspired,1,0,1,1,1,1,1,1
c2670_trojan50,c2670,c2670_trojan50,PASS,PASS,both_pass,1,545.518,6121.11,694.3968029227108,6204.5590919442475,717,21,598,19,582,17,582,17,-16,-16,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
