circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
c2670,c2670_trojan90,PASS,PASS,0,875.839,-1,0,0
c2670,c2670_trojan91,PASS,PASS,0,2062.55,-1,-7,0
c2670,c2670_trojan92,PASS,PASS,0,1111.47,-1,-7,0
c2670,c2670_trojan93,PASS,PASS,0,777.967,-1,0,0
c2670,c2670_trojan94,PASS,PASS,0,867.677,-1,-4,0
c2670,c2670_trojan95,PASS,PASS,0,661.66,-1,0,0
c2670,c2670_trojan96,PASS,PASS,0,2150.04,-1,-7,0
c2670,c2670_trojan97,PASS,PASS,0,955.044,-1,-7,0
c2670,c2670_trojan98,PASS,PASS,0,1310.89,-1,0,0
c2670,c2670_trojan99,PASS,PASS,0,1207.39,-1,-2,0
c2670,c2670_trojan9,PASS,PASS,0,525.444,-1,-12,0
c3540,c3540_trojan0,PASS,PASS,1,15810.5,2,0,0
c3540,c3540_trojan10,PASS,PASS,1,11002.6,2,1,0
c3540,c3540_trojan11,PASS,PASS,0,10324.4,-1,0,0
c3540,c3540_trojan12,PASS,PASS,1,3341.79,2,1,0
c3540,c3540_trojan13,PASS,PASS,1,3381.05,2,0,0
c3540,c3540_trojan14,PASS,PASS,0,3408.44,-1,0,0
c3540,c3540_trojan15,PASS,PASS,0,3558.27,-1,0,0
c3540,c3540_trojan16,PASS,PASS,1,2239.16,2,1,0
c3540,c3540_trojan17,PASS,PASS,1,18282.1,2,0,0
c3540,c3540_trojan18,PASS,PASS,0,6984.48,-1,0,0
c3540,c3540_trojan19,PASS,PASS,0,744.209,-1,0,0
c3540,c3540_trojan1,PASS,PASS,0,3807.95,-1,0,0
c3540,c3540_trojan20,PASS,PASS,0,3687.52,-1,0,0
c3540,c3540_trojan21,PASS,PASS,0,4213.64,-1,0,0
c3540,c3540_trojan22,PASS,PASS,0,3719.26,-1,-4,0
c3540,c3540_trojan23,PASS,PASS,0,4251.52,-1,0,0
c3540,c3540_trojan24,PASS,PASS,0,6097.75,-1,0,0
c3540,c3540_trojan25,PASS,PASS,0,647.094,-1,-4,0
c3540,c3540_trojan26,PASS,PASS,1,2502.31,-1,0,0
c3540,c3540_trojan27,PASS,PASS,0,2617.6,-1,0,0
c3540,c3540_trojan28,PASS,PASS,1,9550.75,2,0,0
c3540,c3540_trojan29,PASS,PASS,0,1054.85,-1,0,0
c3540,c3540_trojan2,PASS,PASS,0,9839.17,-1,0,0
c3540,c3540_trojan30,PASS,PASS,0,3773.44,-1,0,0
c3540,c3540_trojan31,PASS,PASS,1,10215.3,2,1,0
c3540,c3540_trojan32,PASS,PASS,0,3407.92,-1,0,0
c3540,c3540_trojan33,PASS,PASS,1,2638.45,2,0,0
c3540,c3540_trojan34,PASS,PASS,0,804.931,-1,0,0
c3540,c3540_trojan35,PASS,PASS,1,16160.7,2,0,0
c3540,c3540_trojan36,PASS,PASS,0,9645.51,-1,0,0
c3540,c3540_trojan37,CEC_FAIL,PASS,4,3942.3,1,1,5
c3540,c3540_trojan38,PASS,PASS,1,2257.97,2,0,0
c3540,c3540_trojan39,PASS,PASS,1,6652.58,2,1,0
c3540,c3540_trojan3,PASS,PASS,0,3363.08,-1,-6,0
c3540,c3540_trojan40,PASS,PASS,0,11464.6,-1,0,0
c3540,c3540_trojan41,PASS,PASS,1,1599.18,3,1,0
c3540,c3540_trojan42,PASS,PASS,0,7312.23,2,1,0
c3540,c3540_trojan43,PASS,PASS,1,8049.02,2,1,0
c3540,c3540_trojan44,PASS,PASS,1,1725.32,2,0,0
c3540,c3540_trojan45,PASS,PASS,1,10489.5,2,1,0
c3540,c3540_trojan46,PASS,PASS,0,2488.49,2,0,0
c3540,c3540_trojan47,PASS,PASS,1,10733.6,2,0,0
c3540,c3540_trojan48,PASS,PASS,1,3276.11,2,1,0
c3540,c3540_trojan49,PASS,PASS,0,2027.63,-1,0,0
c3540,c3540_trojan4,PASS,PASS,0,3998.24,-1,0,0
c3540,c3540_trojan50,PASS,PASS,1,12091.8,3,0,0
c3540,c3540_trojan51,PASS,PASS,0,6045.5,-1,0,0
c3540,c3540_trojan52,PASS,PASS,0,14238.5,-1,0,0
c3540,c3540_trojan53,PASS,PASS,0,4133.2,-1,0,0
c3540,c3540_trojan54,PASS,PASS,0,7368.56,-1,0,0
c3540,c3540_trojan55,PASS,PASS,0,9827.37,-1,0,0
c3540,c3540_trojan56,PASS,PASS,0,835.263,-1,0,0
c3540,c3540_trojan57,PASS,PASS,0,2405.38,-1,0,0
c3540,c3540_trojan58,PASS,PASS,0,3129.38,-1,0,0
c3540,c3540_trojan59,PASS,PASS,0,3483.84,-1,0,0
c3540,c3540_trojan5,PASS,PASS,0,8794.73,-1,0,0
c3540,c3540_trojan60,PASS,PASS,0,6145.23,-1,0,0
c3540,c3540_trojan61,PASS,PASS,0,14211.5,-1,0,0
c3540,c3540_trojan62,PASS,PASS,0,1395.87,-1,0,0
c3540,c3540_trojan63,PASS,PASS,0,3210.9,-1,0,0
c3540,c3540_trojan64,PASS,PASS,0,3532.47,-1,0,0
c3540,c3540_trojan65,PASS,PASS,0,6964.22,-1,0,0
c3540,c3540_trojan66,PASS,PASS,1,21566,3,0,0
c3540,c3540_trojan67,PASS,PASS,0,10129.4,-1,0,0
c3540,c3540_trojan68,PASS,PASS,0,9835.25,-1,0,0
c3540,c3540_trojan69,PASS,PASS,0,1343.94,-1,0,0
c3540,c3540_trojan6,PASS,PASS,1,1518.44,2,1,0
c3540,c3540_trojan70,PASS,PASS,1,9862.4,2,0,0
c3540,c3540_trojan71,PASS,PASS,0,3189.49,-1,0,0
c3540,c3540_trojan72,PASS,PASS,0,4012.57,-1,0,0
c3540,c3540_trojan73,PASS,PASS,0,3880.5,-1,0,0
c3540,c3540_trojan74,PASS,PASS,0,6144.17,-1,0,0
c3540,c3540_trojan75,PASS,PASS,0,654.822,-1,0,0
c3540,c3540_trojan76,PASS,PASS,0,1226.18,-1,0,0
c3540,c3540_trojan77,PASS,PASS,0,2591.37,-1,0,0
c3540,c3540_trojan78,PASS,PASS,1,2065.67,3,0,0
c3540,c3540_trojan79,PASS,PASS,0,3097.22,-1,0,0
c3540,c3540_trojan7,PASS,PASS,0,2242.82,-1,0,0
c3540,c3540_trojan80,PASS,PASS,0,3511.5,-1,0,0
c3540,c3540_trojan81,PASS,PASS,1,22399.1,3,0,0
c3540,c3540_trojan82,PASS,PASS,0,4220.16,-1,0,0
c3540,c3540_trojan83,PASS,PASS,1,2778.64,3,0,0
c3540,c3540_trojan84,PASS,PASS,1,7555.71,2,0,0
c3540,c3540_trojan85,PASS,PASS,1,1356.2,3,0,0
c3540,c3540_trojan86,PASS,PASS,0,14774.9,-1,0,0
c3540,c3540_trojan87,PASS,PASS,0,623.576,-1,0,0
c3540,c3540_trojan88,PASS,PASS,1,5563.06,3,0,0
c3540,c3540_trojan89,PASS,PASS,0,3904.75,-1,0,0
c3540,c3540_trojan8,PASS,PASS,0,3244.87,-1,0,0
c3540,c3540_trojan90,PASS,PASS,0,16371.5,-1,0,0
c3540,c3540_trojan91,PASS,PASS,1,1688.34,-1,0,0
c3540,c3540_trojan92,PASS,PASS,0,6537.6,1,0,0
c3540,c3540_trojan93,PASS,PASS,0,4025.18,-1,0,0
c3540,c3540_trojan94,PASS,PASS,0,933.856,-1,0,0
c3540,c3540_trojan95,PASS,PASS,0,6044.74,-1,0,0
c3540,c3540_trojan96,PASS,PASS,0,1721.74,1,0,0
c3540,c3540_trojan97,PASS,PASS,1,13480,3,0,0
c3540,c3540_trojan98,PASS,PASS,0,2908.86,-1,0,0
c3540,c3540_trojan99,PASS,PASS,0,3617.4,-1,0,0
c3540,c3540_trojan9,PASS,PASS,0,3608.08,-1,0,0
c5315,c5315_trojan0,PASS,PASS,1,72936,8,0,0
c5315,c5315_trojan10,PASS,PASS,1,74750,7,0,0
c5315,c5315_trojan11,PASS,PASS,1,26900.3,7,0,0
c5315,c5315_trojan12,PASS,PASS,1,43897,8,1,0
c5315,c5315_trojan13,PASS,PASS,1,23526.4,7,0,0
c5315,c5315_trojan14,CEC_FAIL,PASS,5,437039,27,8,5
