circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
aes,aes_trojan1,TIMEOUT,FAIL,1,,,,
c2670,c2670_trojan0,PASS,PASS,0,868.301,-1,0,0
c2670,c2670_trojan10,PASS,PASS,0,1349.24,-1,0,0
c2670,c2670_trojan11,PASS,PASS,0,796.269,-1,-14,0
c2670,c2670_trojan12,PASS,PASS,0,947.213,-1,0,1
c2670,c2670_trojan13,PASS,PASS,0,510.815,-1,0,0
c2670,c2670_trojan14,PASS,PASS,0,844.289,-1,0,0
c2670,c2670_trojan15,PASS,PASS,0,993.754,-1,0,1
c2670,c2670_trojan16,PASS,PASS,0,1149.49,-1,0,1
c2670,c2670_trojan17,PASS,PASS,0,581.506,-1,0,0
c2670,c2670_trojan18,PASS,PASS,0,755.748,-1,0,0
c2670,c2670_trojan19,PASS,PASS,0,853.399,-1,-8,0
c2670,c2670_trojan1,PASS,PASS,0,634.678,-1,0,0
c2670,c2670_trojan20,PASS,PASS,0,604.263,-1,-13,0
c2670,c2670_trojan21,PASS,PASS,0,493.764,-1,-13,0
c2670,c2670_trojan22,PASS,PASS,0,586.661,-1,0,0
c2670,c2670_trojan23,PASS,PASS,0,760.618,-1,-12,0
c2670,c2670_trojan24,PASS,PASS,0,1842.65,-1,0,0
c2670,c2670_trojan25,PASS,PASS,0,1085.79,-1,-12,0
c2670,c2670_trojan26,PASS,PASS,0,474.39,-1,-11,0
c2670,c2670_trojan27,PASS,PASS,0,571.723,-1,0,0
c2670,c2670_trojan28,PASS,PASS,0,1729.72,-1,0,1
c2670,c2670_trojan29,PASS,PASS,0,737.889,-1,0,0
c2670,c2670_trojan2,PASS,PASS,0,676.85,-1,0,0
c2670,c2670_trojan30,PASS,PASS,0,821.433,-1,0,0
c2670,c2670_trojan31,PASS,PASS,0,759.83,-1,-11,0
c2670,c2670_trojan32,PASS,PASS,0,610.06,-1,0,0
c2670,c2670_trojan33,PASS,PASS,0,552.17,-1,0,0
c2670,c2670_trojan34,PASS,PASS,0,602.675,-1,0,0
c2670,c2670_trojan35,PASS,PASS,0,650.722,-1,0,0
c2670,c2670_trojan36,PASS,PASS,0,739.584,-1,-12,0
c2670,c2670_trojan37,PASS,PASS,0,772.518,-1,-14,0
c2670,c2670_trojan38,PASS,PASS,0,554.036,-1,0,0
c2670,c2670_trojan39,PASS,PASS,0,520.659,-1,-11,0
c2670,c2670_trojan3,PASS,PASS,0,1340.22,-1,0,1
c2670,c2670_trojan40,PASS,PASS,0,822.007,-1,-13,0
c2670,c2670_trojan41,PASS,PASS,0,1125.91,-1,-13,0
c2670,c2670_trojan42,PASS,PASS,0,794.242,-1,-9,0
c2670,c2670_trojan43,PASS,PASS,0,2260.58,-1,-9,0
c2670,c2670_trojan44,PASS,PASS,0,541.715,-1,0,0
c2670,c2670_trojan45,PASS,PASS,0,545.886,-1,0,0
c2670,c2670_trojan46,PASS,PASS,0,1596.17,-1,-11,0
c2670,c2670_trojan47,PASS,PASS,0,858.051,-1,0,0
c2670,c2670_trojan48,PASS,PASS,0,1226.41,-1,-12,0
c2670,c2670_trojan49,PASS,PASS,0,647.928,-1,-13,0
c2670,c2670_trojan4,PASS,PASS,0,550.069,-1,0,0
c2670,c2670_trojan50,PASS,PASS,0,552.93,-1,-3,0
c2670,c2670_trojan51,PASS,PASS,0,946.791,-1,-3,1
c2670,c2670_trojan52,PASS,PASS,0,865.155,-1,0,0
c2670,c2670_trojan53,PASS,PASS,0,2364.22,-1,-5,0
c2670,c2670_trojan54,PASS,PASS,0,600.726,-1,0,0
c2670,c2670_trojan55,PASS,PASS,0,592.182,-1,0,0
c2670,c2670_trojan56,PASS,PASS,0,732.248,-1,-5,0
c2670,c2670_trojan57,PASS,PASS,0,789.792,-1,-2,0
c2670,c2670_trojan58,PASS,PASS,0,883.265,-1,0,0
c2670,c2670_trojan59,PASS,PASS,0,518.446,-1,-6,0
c2670,c2670_trojan5,PASS,PASS,0,570.798,-1,0,0
c2670,c2670_trojan60,PASS,PASS,0,1433.66,-1,0,0
c2670,c2670_trojan61,PASS,PASS,0,655.187,-1,-2,0
c2670,c2670_trojan62,PASS,PASS,0,934.514,-1,-3,1
c2670,c2670_trojan63,PASS,PASS,0,555.326,-1,-5,0
c2670,c2670_trojan64,PASS,PASS,0,1071.62,-1,-7,0
c2670,c2670_trojan65,PASS,PASS,0,1037.96,-1,-2,1
c2670,c2670_trojan66,PASS,PASS,0,943.547,-1,-3,1
c2670,c2670_trojan67,PASS,PASS,0,613.945,-1,0,0
c2670,c2670_trojan68,PASS,PASS,0,577.4,-1,-3,0
c2670,c2670_trojan69,PASS,PASS,0,710.567,-1,0,0
c2670,c2670_trojan6,PASS,PASS,0,636.747,-1,0,0
c2670,c2670_trojan70,PASS,PASS,0,543.731,-1,-2,0
c2670,c2670_trojan71,PASS,PASS,0,1210.62,-1,-2,0
c2670,c2670_trojan72,PASS,PASS,0,478.034,-1,-3,0
c2670,c2670_trojan73,PASS,PASS,0,799.893,-1,-2,0
c2670,c2670_trojan74,PASS,PASS,0,972.506,-1,0,0
c2670,c2670_trojan75,PASS,PASS,0,3672.72,-1,-5,0
c2670,c2670_trojan76,PASS,PASS,0,545.305,-1,-2,0
c2670,c2670_trojan77,PASS,PASS,0,576.982,-1,0,0
c2670,c2670_trojan78,PASS,PASS,0,2441.65,-1,-5,0
c2670,c2670_trojan79,PASS,PASS,0,1201.75,-1,0,0
c2670,c2670_trojan7,PASS,PASS,0,704.103,-1,-12,0
c2670,c2670_trojan80,PASS,PASS,0,1381.62,-1,-3,0
c2670,c2670_trojan81,PASS,PASS,0,2653.59,-1,-2,0
c2670,c2670_trojan82,PASS,PASS,0,559.065,-1,0,0
c2670,c2670_trojan83,PASS,PASS,0,1215.93,-1,0,2
c2670,c2670_trojan84,PASS,PASS,0,690.457,-1,0,0
c2670,c2670_trojan85,PASS,PASS,0,543.95,-1,0,0
c2670,c2670_trojan86,PASS,PASS,0,852.645,-1,0,0
c2670,c2670_trojan87,PASS,PASS,0,637.33,-1,-2,0
c2670,c2670_trojan88,PASS,PASS,0,633.023,-1,0,0
c2670,c2670_trojan89,PASS,PASS,0,671.586,-1,-1,0
c2670,c2670_trojan8,PASS,PASS,0,823.045,-1,-13,0
c2670,c2670_trojan90,PASS,PASS,0,854.874,-1,0,0
c2670,c2670_trojan91,PASS,PASS,0,1809.81,-1,-7,0
c2670,c2670_trojan92,PASS,PASS,0,1094.73,-1,-7,0
c2670,c2670_trojan93,PASS,PASS,0,735.847,-1,0,0
c2670,c2670_trojan94,PASS,PASS,0,884.083,-1,-4,0
c2670,c2670_trojan95,PASS,PASS,0,642.221,-1,0,0
c2670,c2670_trojan96,PASS,PASS,0,1874.22,-1,-7,0
c2670,c2670_trojan97,PASS,PASS,0,890.234,-1,-7,0
c2670,c2670_trojan98,PASS,PASS,0,1272.47,-1,0,0
c2670,c2670_trojan99,PASS,PASS,0,1084.89,-1,-2,0
c2670,c2670_trojan9,PASS,PASS,0,514.49,-1,-12,0
c3540,c3540_trojan0,PASS,PASS,1,15751,2,0,0
c3540,c3540_trojan10,PASS,PASS,1,14703.1,2,1,0
c3540,c3540_trojan11,PASS,PASS,0,8817.34,-1,0,0
c3540,c3540_trojan12,PASS,PASS,1,3188.19,2,1,0
c3540,c3540_trojan13,PASS,PASS,1,2795.91,2,0,0
c3540,c3540_trojan14,PASS,PASS,0,3278.8,-1,0,0
c3540,c3540_trojan15,PASS,PASS,0,3170.34,-1,0,0
c3540,c3540_trojan16,PASS,PASS,1,2370.48,2,1,0
c3540,c3540_trojan17,PASS,PASS,1,18221.9,2,0,0
c3540,c3540_trojan18,PASS,PASS,0,6499.57,-1,0,0
c3540,c3540_trojan19,PASS,PASS,0,840.996,-1,0,0
c3540,c3540_trojan1,PASS,PASS,0,4866.16,-1,0,0
c3540,c3540_trojan20,PASS,PASS,0,3518.73,-1,0,0
c3540,c3540_trojan21,PASS,PASS,0,3808.55,-1,0,0
c3540,c3540_trojan22,PASS,PASS,0,3402.98,-1,-4,0
c3540,c3540_trojan23,PASS,PASS,0,3497.09,-1,0,0
c3540,c3540_trojan24,PASS,PASS,0,5216.77,-1,0,0
c3540,c3540_trojan25,PASS,PASS,0,530.735,-1,-4,0
c3540,c3540_trojan26,PASS,PASS,1,2424.94,2,0,0
c3540,c3540_trojan27,PASS,PASS,0,2222.8,-1,0,0
c3540,c3540_trojan28,PASS,PASS,1,8339.56,2,0,0
c3540,c3540_trojan29,PASS,PASS,0,934.464,-1,0,0
