circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
aes,aes_trojan1,TIMEOUT,FAIL,1,,,,
c2670,c2670_trojan0,PASS,PASS,0,795.093,-1,0,0
c2670,c2670_trojan10,PASS,PASS,0,1424.15,-1,0,0
c2670,c2670_trojan11,PASS,PASS,0,755.727,-1,-14,0
c2670,c2670_trojan12,PASS,PASS,0,1067.92,-1,0,1
c2670,c2670_trojan13,PASS,PASS,0,521.894,-1,0,0
c2670,c2670_trojan14,PASS,PASS,0,798.624,-1,0,0
c2670,c2670_trojan15,PASS,PASS,0,1101.06,-1,0,1
c2670,c2670_trojan16,PASS,PASS,0,966.697,-1,0,1
c2670,c2670_trojan17,PASS,PASS,0,656.071,-1,0,0
c2670,c2670_trojan18,PASS,PASS,0,862.559,-1,0,0
c2670,c2670_trojan19,PASS,PASS,0,677.966,-1,-8,0
c2670,c2670_trojan1,PASS,PASS,0,596.116,-1,0,0
c2670,c2670_trojan20,PASS,PASS,0,562.029,-1,-13,0
c2670,c2670_trojan21,PASS,PASS,0,605.296,-1,-13,0
c2670,c2670_trojan22,PASS,PASS,0,603.707,-1,0,0
c2670,c2670_trojan23,PASS,PASS,0,862.124,-1,-12,0
c2670,c2670_trojan24,PASS,PASS,0,2322.57,-1,0,0
c2670,c2670_trojan25,PASS,PASS,0,1103.12,-1,-12,0
c2670,c2670_trojan26,PASS,PASS,0,556.471,-1,-11,0
c2670,c2670_trojan27,PASS,PASS,0,644.834,-1,0,0
c2670,c2670_trojan28,PASS,PASS,0,1658.54,-1,0,1
c2670,c2670_trojan29,PASS,PASS,0,597.896,-1,0,0
c2670,c2670_trojan2,PASS,PASS,0,748.883,-1,0,0
c2670,c2670_trojan30,PASS,PASS,0,613.897,-1,0,0
c2670,c2670_trojan31,PASS,PASS,0,1121.76,-1,-11,0
c2670,c2670_trojan32,PASS,PASS,0,668.345,-1,0,0
c2670,c2670_trojan33,PASS,PASS,0,584.041,-1,0,0
c2670,c2670_trojan34,PASS,PASS,0,733.508,-1,0,0
c2670,c2670_trojan35,PASS,PASS,0,634.831,-1,0,0
c2670,c2670_trojan36,PASS,PASS,0,866.383,-1,-12,0
c2670,c2670_trojan37,PASS,PASS,0,635.787,-1,-14,0
c2670,c2670_trojan38,PASS,PASS,0,565.137,-1,0,0
c2670,c2670_trojan39,PASS,PASS,0,589.505,-1,-11,0
c2670,c2670_trojan3,PASS,PASS,0,1298.37,-1,0,1
c2670,c2670_trojan40,PASS,PASS,0,943.982,-1,-13,0
c2670,c2670_trojan41,PASS,PASS,0,1185.19,-1,-13,0
