circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta,cec_rounds
c2670,c2670_trojan90,PASS,PASS,0,941.782,-1,0,0
c2670,c2670_trojan91,PASS,PASS,0,2140.69,-1,-7,0
c2670,c2670_trojan92,PASS,PASS,0,1118.06,-1,-7,0
c2670,c2670_trojan93,PASS,PASS,0,790.97,-1,0,0
c2670,c2670_trojan94,PASS,PASS,0,847.154,-1,-4,0
c2670,c2670_trojan95,PASS,PASS,0,668.68,-1,0,0
c2670,c2670_trojan96,PASS,PASS,0,2528.14,-1,-7,0
c2670,c2670_trojan97,PASS,PASS,0,948.102,-1,-7,0
c2670,c2670_trojan98,PASS,PASS,0,1474.07,-1,0,0
c2670,c2670_trojan99,PASS,PASS,0,1111.51,-1,-2,0
c2670,c2670_trojan9,PASS,PASS,0,524.206,-1,-12,0
c3540,c3540_trojan0,PASS,PASS,1,13221.4,-1,0,0
c3540,c3540_trojan10,PASS,PASS,1,10249.3,-1,0,0
c3540,c3540_trojan11,PASS,PASS,0,9339.58,-1,0,0
c3540,c3540_trojan12,PASS,PASS,1,3099.42,-1,0,0
c3540,c3540_trojan13,PASS,PASS,1,2669.7,-1,0,0
c3540,c3540_trojan14,PASS,PASS,0,4086.66,-1,0,0
c3540,c3540_trojan15,PASS,PASS,0,3112.35,-1,0,0
c3540,c3540_trojan16,PASS,PASS,1,2447.93,-1,-6,0
c3540,c3540_trojan17,PASS,PASS,1,14900.9,-1,0,0
c3540,c3540_trojan18,PASS,PASS,0,6530.05,-1,0,0
c3540,c3540_trojan19,PASS,PASS,0,742.643,-1,0,0
c3540,c3540_trojan1,PASS,PASS,0,3947.58,-1,0,0
c3540,c3540_trojan20,PASS,PASS,0,3364.71,-1,0,0
c3540,c3540_trojan21,PASS,PASS,0,3804.1,-1,0,0
c3540,c3540_trojan22,PASS,PASS,0,3131.27,-1,-4,0
c3540,c3540_trojan23,PASS,PASS,0,3301.98,-1,0,0
c3540,c3540_trojan24,PASS,PASS,0,4902.65,-1,0,0
c3540,c3540_trojan25,PASS,PASS,0,573.22,-1,-4,0
c3540,c3540_trojan26,PASS,PASS,1,2290.23,-1,0,0
c3540,c3540_trojan27,PASS,PASS,0,2184.28,-1,0,0
c3540,c3540_trojan28,PASS,PASS,1,7107,-1,0,0
c3540,c3540_trojan29,PASS,PASS,0,958.01,-1,0,0
c3540,c3540_trojan2,PASS,PASS,0,8951.19,-1,0,0
c3540,c3540_trojan30,PASS,PASS,0,2825.4,-1,0,0
c3540,c3540_trojan31,PASS,PASS,1,9166.78,-1,0,0
c3540,c3540_trojan32,PASS,PASS,0,3080.49,-1,0,0
c3540,c3540_trojan33,PASS,PASS,1,2784.17,-1,0,0
c3540,c3540_trojan34,PASS,PASS,0,956.882,-1,0,0
c3540,c3540_trojan35,PASS,PASS,1,12789.5,-1,0,0
c3540,c3540_trojan36,PASS,PASS,0,9071.11,-1,0,0
c3540,c3540_trojan37,PASS,PASS,0,2245.18,-1,0,4
c3540,c3540_trojan38,PASS,PASS,1,2006.7,-1,0,0
c3540,c3540_trojan39,PASS,PASS,1,6869.74,-1,0,0
c3540,c3540_trojan3,PASS,PASS,0,3087.15,-1,-6,0
c3540,c3540_trojan40,PASS,PASS,0,12018.7,-1,0,0
c3540,c3540_trojan41,PASS,PASS,1,1706.76,3,1,0
c3540,c3540_trojan42,PASS,PASS,0,8064.86,2,1,0
c3540,c3540_trojan43,PASS,PASS,1,7289.52,-1,0,0
c3540,c3540_trojan44,PASS,PASS,1,1178.75,-1,0,0
c3540,c3540_trojan45,PASS,PASS,1,8474.97,-1,0,0
c3540,c3540_trojan46,PASS,PASS,0,2221.84,2,0,0
c3540,c3540_trojan47,PASS,PASS,1,8943.34,-1,0,0
c3540,c3540_trojan48,PASS,PASS,1,3077.91,-1,0,0
c3540,c3540_trojan49,PASS,PASS,0,1576.65,-1,0,0
c3540,c3540_trojan4,PASS,PASS,0,3589.71,-1,0,0
c3540,c3540_trojan50,PASS,PASS,1,10771.8,-1,0,0
c3540,c3540_trojan51,PASS,PASS,0,4952.44,-1,0,0
c3540,c3540_trojan52,PASS,PASS,0,14465.5,-1,0,0
c3540,c3540_trojan53,PASS,PASS,0,15339.9,-1,0,0
c3540,c3540_trojan54,PASS,PASS,0,8045.02,-1,0,0
c3540,c3540_trojan55,PASS,PASS,0,8864.72,-1,0,0
c3540,c3540_trojan56,PASS,PASS,0,814.343,-1,0,0
c3540,c3540_trojan57,PASS,PASS,0,2055.81,-1,0,0
c3540,c3540_trojan58,PASS,PASS,0,2872.54,-1,0,0
c3540,c3540_trojan59,PASS,PASS,0,3229.78,-1,0,0
c3540,c3540_trojan5,PASS,PASS,0,8217.86,-1,0,0
c3540,c3540_trojan60,PASS,PASS,0,5515.72,-1,0,0
c3540,c3540_trojan61,PASS,PASS,0,14762.3,-1,0,0
c3540,c3540_trojan62,PASS,PASS,0,1228.2,-1,0,0
c3540,c3540_trojan63,PASS,PASS,0,2795.8,-1,0,0
c3540,c3540_trojan64,PASS,PASS,0,3242.08,-1,0,0
c3540,c3540_trojan65,PASS,PASS,0,6462.43,-1,0,0
c3540,c3540_trojan66,PASS,PASS,1,15375.9,-1,0,0
c3540,c3540_trojan67,PASS,PASS,0,8567.01,-1,0,0
c3540,c3540_trojan68,PASS,PASS,0,8771.98,-1,0,0
c3540,c3540_trojan69,PASS,PASS,0,1354.53,-1,0,0
c3540,c3540_trojan6,PASS,PASS,1,1426.92,-1,0,0
c3540,c3540_trojan70,PASS,PASS,1,8889.83,-1,0,0
c3540,c3540_trojan71,PASS,PASS,0,2518.04,-1,0,0
c3540,c3540_trojan72,PASS,PASS,0,3274.56,-1,0,0
c3540,c3540_trojan73,PASS,PASS,0,3566.58,-1,0,0
c3540,c3540_trojan74,PASS,PASS,0,5384.96,-1,0,0
c3540,c3540_trojan75,PASS,PASS,0,652.781,-1,0,0
c3540,c3540_trojan76,PASS,PASS,0,1097.95,-1,0,0
c3540,c3540_trojan77,PASS,PASS,0,2319.55,-1,0,0
c3540,c3540_trojan78,PASS,PASS,1,2015.38,-1,0,0
c3540,c3540_trojan79,PASS,PASS,0,3586.01,-1,0,0
c3540,c3540_trojan7,PASS,PASS,0,1990.44,-1,0,0
c3540,c3540_trojan80,PASS,PASS,0,3297.69,-1,0,0
c3540,c3540_trojan81,PASS,PASS,1,15713.9,-1,0,0
c3540,c3540_trojan82,PASS,PASS,0,3790.79,-1,0,0
c3540,c3540_trojan83,PASS,PASS,1,2935.01,-1,0,0
c3540,c3540_trojan84,PASS,PASS,1,7133.68,-1,0,0
c3540,c3540_trojan85,PASS,PASS,1,1215.12,-1,0,0
c3540,c3540_trojan86,PASS,PASS,0,14854.6,-1,0,0
c3540,c3540_trojan87,PASS,PASS,0,573.458,-1,0,0
c3540,c3540_trojan88,PASS,PASS,1,5066.36,-1,0,0
c3540,c3540_trojan89,PASS,PASS,0,3621.1,-1,0,0
c3540,c3540_trojan8,PASS,PASS,0,2817.33,-1,0,0
c3540,c3540_trojan90,PASS,PASS,0,17413.6,-1,0,0
c3540,c3540_trojan91,PASS,PASS,1,1492.44,-1,0,0
c3540,c3540_trojan92,PASS,PASS,0,6329.56,1,0,0
c3540,c3540_trojan93,PASS,PASS,0,3764.9,-1,0,0
c3540,c3540_trojan94,PASS,PASS,0,879.934,-1,0,0
c3540,c3540_trojan95,PASS,PASS,0,6289.32,-1,0,0
c3540,c3540_trojan96,PASS,PASS,0,1766.06,1,0,0
c3540,c3540_trojan97,PASS,PASS,1,11640.8,-1,0,0
c3540,c3540_trojan98,PASS,PASS,0,2648.03,-1,0,0
c3540,c3540_trojan99,PASS,PASS,0,3325.83,-1,0,0
c3540,c3540_trojan9,PASS,PASS,0,3263.28,-1,0,0
c5315,c5315_trojan0,TIMEOUT,PASS,1,,895,24,
c5315,c5315_trojan10,PASS,PASS,1,44766.7,-1,0,0
c5315,c5315_trojan11,PASS,PASS,1,26025.5,-1,0,0
c5315,c5315_trojan12,PASS,PASS,1,31334,-1,-4,0
c5315,c5315_trojan13,PASS,PASS,1,19845.8,-1,0,0
c5315,c5315_trojan14,PASS,PASS,1,49925.3,-1,0,0
c5315,c5315_trojan15,PASS,PASS,1,20112.7,-1,0,0
c5315,c5315_trojan16,FAIL,FAIL,1,199911,,,0
c5315,c5315_trojan17,PASS,PASS,1,1580.46,-1,0,0
c5315,c5315_trojan18,CEC_FAIL,PASS,2,276152,580,18,1
c5315,c5315_trojan19,PASS,PASS,1,22438.9,-1,0,0
c5315,c5315_trojan1,PASS,PASS,1,55263.2,-1,0,0
c5315,c5315_trojan20,TIMEOUT,FAIL,1,,,,
c5315,c5315_trojan21,TIMEOUT,FAIL,1,,,,
c5315,c5315_trojan22,PASS,PASS,1,34016.2,-1,0,0
c5315,c5315_trojan23,TIMEOUT,FAIL,1,,,,
c5315,c5315_trojan24,TIMEOUT,FAIL,1,,,,
c5315,c5315_trojan25,PASS,PASS,1,21182.7,-1,0,0
c5315,c5315_trojan26,PASS,PASS,1,1448.93,-1,0,0
c5315,c5315_trojan27,PASS,PASS,1,45066.6,-1,0,0
c5315,c5315_trojan28,PASS,PASS,2,9356.71,-1,0,1
c5315,c5315_trojan29,PASS,PASS,1,204681,-1,0,0
c5315,c5315_trojan2,TIMEOUT,FAIL,1,,,,
c5315,c5315_trojan30,PASS,PASS,1,28822.9,-1,0,0
c5315,c5315_trojan31,TIMEOUT,FAIL,1,,,,
