circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta
c2670,c2670_trojan95,PASS,PASS,0,660.058,-1,0
c2670,c2670_trojan96,PASS,PASS,0,2048.29,-1,-7
c2670,c2670_trojan97,PASS,PASS,0,821.142,-1,-7
c2670,c2670_trojan98,PASS,PASS,0,1340.78,-1,0
c2670,c2670_trojan99,PASS,PASS,0,1035.14,-1,-2
c2670,c2670_trojan9,PASS,PASS,0,441.951,-1,-12
c3540,c3540_trojan0,PASS,PASS,1,15482.8,2,0
c3540,c3540_trojan10,PASS,PASS,1,11218.6,2,1
c3540,c3540_trojan11,PASS,PASS,0,11764,-1,0
c3540,c3540_trojan12,PASS,PASS,1,3062.6,2,1
c3540,c3540_trojan13,PASS,PASS,1,2566.64,2,0
c3540,c3540_trojan14,PASS,PASS,0,3566.93,-1,0
c3540,c3540_trojan15,PASS,PASS,0,3399.48,-1,0
c3540,c3540_trojan16,PASS,PASS,1,2086.39,2,1
c3540,c3540_trojan17,PASS,PASS,1,18416.2,2,0
c3540,c3540_trojan18,PASS,PASS,0,11996.1,-1,0
c3540,c3540_trojan19,PASS,PASS,0,779.733,-1,0
c3540,c3540_trojan1,PASS,PASS,0,3814.6,-1,0
c3540,c3540_trojan20,PASS,PASS,0,3742.5,-1,0
c3540,c3540_trojan21,PASS,PASS,0,4033.34,-1,0
c3540,c3540_trojan22,PASS,PASS,0,3411,-1,-4
c3540,c3540_trojan23,PASS,PASS,0,3534.37,-1,0
c3540,c3540_trojan24,PASS,PASS,0,5660.53,-1,0
c3540,c3540_trojan25,PASS,PASS,0,554.997,-1,-4
c3540,c3540_trojan26,PASS,PASS,1,2277.62,-1,0
c3540,c3540_trojan27,PASS,PASS,0,2436.25,-1,0
c3540,c3540_trojan28,PASS,PASS,1,9391.67,2,1
c3540,c3540_trojan29,PASS,PASS,0,1711.79,-1,0
c3540,c3540_trojan2,PASS,PASS,0,17900.3,-1,0
c3540,c3540_trojan30,PASS,PASS,0,3173.21,-1,0
c3540,c3540_trojan31,PASS,PASS,1,10263.2,2,1
c3540,c3540_trojan32,PASS,PASS,0,3153.84,-1,0
c3540,c3540_trojan33,PASS,PASS,1,2773.9,2,0
c3540,c3540_trojan34,PASS,PASS,0,756.006,-1,0
c3540,c3540_trojan35,PASS,PASS,1,15824.3,2,0
c3540,c3540_trojan36,PASS,PASS,0,10150.2,-1,0
c3540,c3540_trojan37,CEC_FAIL,PASS,0,560.533,2,1
c3540,c3540_trojan38,PASS,PASS,1,2119.04,2,0
c3540,c3540_trojan39,PASS,PASS,1,6763.04,2,1
c3540,c3540_trojan3,PASS,PASS,0,3325.29,-1,-6
c3540,c3540_trojan40,PASS,PASS,0,12713.1,-1,0
c3540,c3540_trojan41,PASS,PASS,1,1741.52,3,1
c3540,c3540_trojan42,PASS,PASS,0,6550.01,2,1
c3540,c3540_trojan43,PASS,PASS,1,8165.91,2,1
c3540,c3540_trojan44,PASS,PASS,1,1305.12,2,0
c3540,c3540_trojan45,PASS,PASS,1,9663.21,2,1
c3540,c3540_trojan46,PASS,PASS,0,2869.57,2,0
c3540,c3540_trojan47,PASS,PASS,1,10204.9,2,0
c3540,c3540_trojan48,PASS,PASS,1,3253.91,2,1
c3540,c3540_trojan49,PASS,PASS,0,1573.73,-1,0
c3540,c3540_trojan4,PASS,PASS,0,4009.91,-1,0
c3540,c3540_trojan50,PASS,PASS,1,11915.6,3,0
c3540,c3540_trojan51,PASS,PASS,0,5421.59,-1,0
c3540,c3540_trojan52,PASS,PASS,0,18147.6,-1,0
c3540,c3540_trojan53,PASS,PASS,0,4247.24,-1,0
c3540,c3540_trojan54,PASS,PASS,0,9360.79,-1,0
c3540,c3540_trojan55,PASS,PASS,0,10425.6,-1,0
c3540,c3540_trojan56,PASS,PASS,0,705.857,-1,0
c3540,c3540_trojan57,PASS,PASS,0,2147.46,-1,0
c3540,c3540_trojan58,PASS,PASS,0,3114.07,-1,0
c3540,c3540_trojan59,PASS,PASS,0,3655.98,-1,0
c3540,c3540_trojan5,PASS,PASS,0,9730.74,-1,0
c3540,c3540_trojan60,PASS,PASS,0,6122.43,-1,0
c3540,c3540_trojan61,PASS,PASS,0,15550.5,-1,0
c3540,c3540_trojan62,PASS,PASS,0,1061.74,-1,0
c3540,c3540_trojan63,PASS,PASS,0,2837.84,-1,0
c3540,c3540_trojan64,PASS,PASS,0,3210.2,-1,0
c3540,c3540_trojan65,PASS,PASS,0,6676.46,-1,0
c3540,c3540_trojan66,PASS,PASS,1,22111,3,0
c3540,c3540_trojan67,PASS,PASS,0,13362.3,-1,0
c3540,c3540_trojan68,PASS,PASS,0,11212.4,-1,0
c3540,c3540_trojan69,PASS,PASS,0,1301.66,-1,0
c3540,c3540_trojan6,PASS,PASS,1,1714.77,2,1
c3540,c3540_trojan70,PASS,PASS,1,10158.1,2,0
c3540,c3540_trojan71,PASS,PASS,0,2962.12,-1,0
c3540,c3540_trojan72,PASS,PASS,0,3626.61,-1,0
c3540,c3540_trojan73,PASS,PASS,0,3686.33,-1,0
c3540,c3540_trojan74,PASS,PASS,0,5381.8,-1,0
c3540,c3540_trojan75,PASS,PASS,0,488.562,-1,0
c3540,c3540_trojan76,PASS,PASS,0,1147.52,-1,0
c3540,c3540_trojan77,PASS,PASS,0,2356.78,-1,0
c3540,c3540_trojan78,PASS,PASS,1,1932.15,3,0
c3540,c3540_trojan79,PASS,PASS,0,2849.54,-1,0
c3540,c3540_trojan7,PASS,PASS,0,2183.01,-1,0
c3540,c3540_trojan80,PASS,PASS,0,3353.73,-1,0
c3540,c3540_trojan81,PASS,PASS,1,22616.7,3,0
c3540,c3540_trojan82,PASS,PASS,0,3716.88,-1,0
c3540,c3540_trojan83,PASS,PASS,1,2520.81,3,0
c3540,c3540_trojan84,PASS,PASS,1,6804.17,2,0
c3540,c3540_trojan85,PASS,PASS,1,1429.49,3,0
c3540,c3540_trojan86,PASS,PASS,0,24997.1,-1,0
c3540,c3540_trojan87,PASS,PASS,0,509.007,-1,0
c3540,c3540_trojan88,PASS,PASS,1,5567.48,3,0
c3540,c3540_trojan89,PASS,PASS,0,3440.27,-1,0
c3540,c3540_trojan8,PASS,PASS,0,2851.64,-1,0
c3540,c3540_trojan90,PASS,PASS,0,19273.9,-1,0
c3540,c3540_trojan91,PASS,PASS,1,1492.46,-1,0
c3540,c3540_trojan92,PASS,PASS,0,7459.33,1,0
c3540,c3540_trojan93,PASS,PASS,0,4003.83,-1,0
c3540,c3540_trojan94,PASS,PASS,0,793.788,-1,0
c3540,c3540_trojan95,PASS,PASS,0,6222.34,-1,0
c3540,c3540_trojan96,PASS,PASS,0,1608.86,1,0
c3540,c3540_trojan97,PASS,PASS,1,13466.5,3,0
c3540,c3540_trojan98,PASS,PASS,0,2620.78,-1,0
c3540,c3540_trojan99,PASS,PASS,0,4354.85,-1,0
c3540,c3540_trojan9,PASS,PASS,0,3135.88,-1,0
c5315,c5315_trojan0,PASS,PASS,1,74673.6,8,0
c5315,c5315_trojan10,PASS,PASS,1,78305,7,0
c5315,c5315_trojan11,PASS,PASS,1,24274.7,7,0
c5315,c5315_trojan12,PASS,PASS,1,45949.8,8,1
c5315,c5315_trojan13,PASS,PASS,1,27297.4,7,0
c5315,c5315_trojan14,CEC_FAIL,PASS,1,92930.7,5,1
c5315,c5315_trojan15,PASS,PASS,1,17371.1,4,0
c5315,c5315_trojan16,PASS,PASS,1,64285,8,0
c5315,c5315_trojan17,PASS,PASS,1,1445.64,4,0
